Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_cytoplasm_div_nucleus,Key,Sample
11,3,371.6675392670157,151.9601344860711,0.4088603884691123,ERK,ERK_example
11,4,220.35478217325988,123.2881081081081,0.5594982187006475,ERK,ERK_example
11,all,298.9603210236839,150.14172447968286,0.5022128821830791,ERK,ERK_example
12,1,268.03021499128414,157.32638164754954,0.5869725607341154,ERK,ERK_example
12,2,303.3995510662177,169.35985533453888,0.5582073366271253,ERK,ERK_example
12,3,369.42995169082127,150.5316091954023,0.4074699642149842,ERK,ERK_example
12,4,215.6083984375,118.33369565217392,0.5488362072615468,ERK,ERK_example
12,all,294.8125700201658,149.96525192355423,0.5086799789890109,ERK,ERK_example
13,1,263.43628013777266,153.15328467153284,0.581367473726232,ERK,ERK_example
13,2,294.86871717929483,169.4095409540954,0.574525309346688,ERK,ERK_example
13,3,364.18823055219667,151.6971153846154,0.41653491974357926,ERK,ERK_example
13,4,208.13067061143985,118.78114842903575,0.5707046831689158,ERK,ERK_example
13,all,288.28821352472806,149.38953632531613,0.5181950885151334,ERK,ERK_example
14,1,259.8764805414552,147.2920634920635,0.5667771980949529,ERK,ERK_example
14,2,289.17096894874675,168.2954954954955,0.5819930545148345,ERK,ERK_example
14,3,359.80587998389046,150.08829174664106,0.417136850996879,ERK,ERK_example
14,4,201.3389080177078,117.01741022850925,0.5811962098166219,ERK,ERK_example
14,all,283.0210890426244,146.8949203187251,0.5190246451797166,ERK,ERK_example
15,1,259.1601830663616,146.63034623217922,0.5657904099976364,ERK,ERK_example
15,2,283.41180895073336,166.57039711191337,0.5877327332569582,ERK,ERK_example
15,3,358.38461538461536,146.9942363112392,0.4101577746396458,ERK,ERK_example
15,4,194.11642821904292,114.86240520043337,0.5917191360579821,ERK,ERK_example
15,all,279.23595379611976,144.94079921065614,0.5190620951214708,ERK,ERK_example
16,1,256.6399317406143,145.51263157894738,0.5669913898123103,ERK,ERK_example
