Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_cytoplasm_div_nucleus,Key,Sample
7,4,914.6267778322707,368.2620837808808,0.4026364553350249,PKA,ERK_example
7,all,1007.4915406162465,333.36851168511686,0.3308896385186592,PKA,ERK_example
8,1,743.8712814645309,433.43808532778354,0.5826788802417971,PKA,ERK_example
8,2,1149.40726863994,283.4873873873874,0.24663789339250458,PKA,ERK_example
8,3,1110.3470209339775,263.2835249042146,0.23711823415597716,PKA,ERK_example
8,4,914.5340236686391,376.8817204301075,0.4121024594779452,PKA,ERK_example
8,all,1005.8049053645425,335.37033374536463,0.33343477642298186,PKA,ERK_example
9,1,741.3408695652174,443.58229166666666,0.5983513251155563,PKA,ERK_example
9,2,1145.9513108614233,285.7571942446043,0.24936242189015667,PKA,ERK_example
9,3,1108.6227858293075,265.0755258126195,0.23910344366080227,PKA,ERK_example
9,4,915.9665189561792,376.0279870828848,0.4105259082083047,PKA,ERK_example
9,all,1004.7867564534231,338.57178156659256,0.3369588416567541,PKA,ERK_example
10,1,746.0,443.0073145245559,0.5938435851535602,PKA,ERK_example
10,2,1149.0266616597821,287.61656165616563,0.2503132183553515,PKA,ERK_example
10,3,1110.0539452495975,263.84578544061304,0.23768735435761806,PKA,ERK_example
10,4,917.9920199501247,395.3751351351351,0.43069561231764975,PKA,ERK_example
10,all,1007.9460861718926,342.99653207827595,0.34029253824572336,PKA,ERK_example
11,1,743.259703196347,436.70177267987486,0.5875493731220234,PKA,ERK_example
11,2,1143.8031378408666,284.21962196219624,0.24848648561911774,PKA,ERK_example
11,3,1107.7849375755136,267.1527377521614,0.24115938815421073,PKA,ERK_example
11,4,922.2523785678518,397.23675675675673,0.43072456736150483,PKA,ERK_example
11,all,1005.3339319788978,341.951189296333,0.3401369220903912,PKA,ERK_example
12,1,743.2434631028472,446.09593326381645,0.6002016235722848,PKA,ERK_example
12,2,1139.46202768425,287.8942133815552,0.2526580143847777,PKA,ERK_example
12,3,1101.7242351046698,263.2183908045977,0.2389149502366992,PKA,ERK_example
12,4,911.38720703125,366.29021739130434,0.40190405852245503,PKA,ERK_example
12,all,1000.2361640152363,337.0573343261355,0.33697775230710536,PKA,ERK_example
13,1,741.3473019517795,436.63920750782063,0.5889806388426319,PKA,ERK_example
13,2,1137.3128282070518,288.0855085508551,0.25330366580408264,PKA,ERK_example
13,3,1101.9399435711407,263.8971153846154,0.2394841179178821,PKA,ERK_example
13,4,914.9778106508876,378.31744312026,0.4134717134300081,PKA,ERK_example
13,all,999.5504093304924,337.82296057525417,0.33797491094174126,PKA,ERK_example
14,1,736.1646926113931,426.89206349206347,0.5798866310441371,PKA,ERK_example
14,2,1131.9723157500935,284.1801801801802,0.2510487016565155,PKA,ERK_example
14,3,1093.709625453081,265.2332053742802,0.24250788253271935,PKA,ERK_example
14,4,910.2179045745204,376.15669205658327,0.41326004483774353,PKA,ERK_example
14,all,992.76232983709,333.89292828685257,0.3363271532891902,PKA,ERK_example
15,1,737.9588100686499,430.3564154786151,0.5831713228528032,PKA,ERK_example
15,2,1132.1083113952614,293.73916967509024,0.2594620733002771,PKA,ERK_example
15,3,1093.139750302054,268.5926993275696,0.24570755866608335,PKA,ERK_example
15,4,912.1697089294524,376.76273022751894,0.4130401684459552,PKA,ERK_example
15,all,993.995962767747,339.2772570300937,0.34132659461250536,PKA,ERK_example
